Producer Name,Yield,Square footage of facility:,Square footage of facility used for production:,avg kWh/day,avgkWh/ft,Square footage of flowering canopy:,LIGHTING | NUMBER OF LIGHTS,LIGHTING | WATTS,LIGHTING | HOURS PER DAY,HEATING/COOLING | WATTS,HEATING/COOLING | HOURS PER DAY,HEATING/COOLING | NUMBER OF UNITS,VENTILATION | WATTS,VENTILATION | HOURS PER DAY,VENTILATION | NUMBER OF UNITS,LIGHTING | NUMBER OF LIGHTS,LIGHTING | WATTS,LIGHTING | HOURS PER DAY,HEATING/COOLING | WATTS,HEATING/COOLING | HOURS PER DAY,HEATING/COOLING | NUMBER OF UNITS,VENTILATION | WATTS,VENTILATION | HOURS PER DAY,VENTILATION | NUMBER OF UNITS,DRYING EQUIPMENT | WATTS,DRYING EQUIPMENT | HOURS PER DAY,HEATING/COOLING | WATTS,HEATING/COOLING | HOURS PER DAY,HEATING/COOLING | NUMBER OF UNITS,DEHUMIDIFICATION | NUMBER OF UNITS,HUMIDIFICATION | NUMBER OF UNITS,VENTILATION | WATTS,VENTILATION | HOURS PER DAY,VENTILATION | NUMBER OF UNITS,,,,,,,,,,,,,,,
Alter Farms,,,,,,112,0,na,na,,,na,,,na,0,na,na,,,0,,,0,,,,,1,4,0,,,0,,,,,,,,,,,,,,,
East Fork Cultivars,,3500,3500,,,900,,28800,18,10800,12,,500,2,,,,,,,,,,,39744,12,16200,18,,,,3000,4,,,,,,,,,,,,,,,,
East Fork Cultivars,,3500,3500,,,600,,28800,18,10800,12,,500,2,,,,,,,,,,,39744,12,16200,18,,,,3000,4,,,,,,,,,,,,,,,,
Phantom Farms,,3000000,80000,,,100,,0,0,0,0,,0,0,,,OUTDOOR,OUTDOOR,OUTDOOR,OUTDOOR,,OUTDOOR,OUTDOOR,,4620,6,10800,6,42661,Daikin 15 Series,,Part of Heating/Cooling,Part of Heating/Cooling,,,,,,,,,,,,,,,,
Siskiyou Sungrown Farm,,5 acres,40000,,,Cannatonic x (Afghan x Skunk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Oregon Cannabis Company,,,,,,1600 sq ft,0,None,None,,,none,,,fans and dehumidifiers for 7 days when drying only,None,None,None,,,None,,,None,,,,,0,2,1,,,4 fans per room,,,,,,,,,,,,,,,
Sweden CBD,,,,,,18000,4,216,6,,,heating space heater 1 1500w,,,inline booster fan 1,0,0,0,,,0,,,0,,,,,0,8,0,,,1 canarm exhaust fan 6 TPI corporation box fans.,,,,,,,,,,,,,,,
Sweden CBD,,,,,,10000,4,216,6,,,heating space heater 1 1500w,,,inline booster fan 1,0,0,0,,,0,,,0,,,,,0,8,0,,,1 canarm exhaust fan 6 TPI corporation box fans.,,,,,,,,,,,,,,,
Cascade High,4lbs,,,,,245sqft,10,836,18,,,0,,,2/room,4,1000,12,,,1,,,2,,,,,1,1,0,,,1,,,,,,,,,,,,,,,
Yerba Buena,,14000 square feet,8000 square feet,,,20,,216 watts,18,exact number unattainable,18,,150 watts,20,,,12000 watts,12,specific number not available,12,,150 watts,24,,Information not calculable,24,Impossible to calculate,24,,,,800 watts total ventilation,24,,,,,,,,,,,,,,,,
Cheshire Kind,,900 sq ft,50 sq ft,,,100,,0,0,none,none,,0,0,,,none,none,none,none,,400 watts,2 hours,,736 watts,24 hours dehumidifier kicked on only when humidity was over 50%,none,none,43028,none,,100 watts,less then 1,,,,,,,,,,,,,,,,
Cheshire Kind,,900 sq ft,50 sq ft,,,100,,0,0,none,none,,0,0,,,none,none,none,none,,400 watts,2 hours,,736 watts,24 hours dehumidifier kicked on only when humidity was over 50%,none,none,43028,none,,100 watts,less then 1,,,,,,,,,,,,,,,,
East Fork Cultivars,,3500,3500,,,200,,,,,,,,,,,,,,,,,,,39744,12,16200,18,,,,3000,4,,,,,,,,,,,,,,,,
Alter Farms,,,,,,897,8,354,18,,,0,,,1,0,na,na,,,0,,,0,,,,,1,0,0,,,0,,,,,,,,,,,,,,,
Alter Farms,,,,,,12,0,na,na,,,na,,,na,0,na,na,,,0,,,0,,,,,1,4,0,,,0,,,,,,,,,,,,,,,
Alter Farms,,,,,,32,8,354,18,,,0,,,1,0,na,na,,,0,,,0,,,,,1,0,0,,,0,,,,,,,,,,,,,,,
Alter Farms,,,,,,25,8,354,18,,,0,,,1,0,na,na,,,0,,,0,,,,,1,0,0,,,0,,,,,,,,,,,,,,,
Alter Farms,,,,,,330,8,354,18,,,0,,,1,0,na,na,,,0,,,0,,,,,1,0,0,,,0,,,,,,,,,,,,,,,
Alter Farms,,,,,,1039,8,354,18,,,na,,,1,0,na,na,,,na,,,na,,,,,1,4,0,,,0,,,,,,,,,,,,,,,
Ebb & Flow Farm,,250000,40000,,,4000,,120W in Greenhouse,6,N/A,N/A,,None,None,,,N/A,N/A,N/A,N/A,,N/A,N/A,,30000,20,72000,24,,,,N/A,N/A,,,,,,,,,,,,,,,,
